nbh_name,nbh_code,dist_ka,always_excluded,uniqueid,ur,excluded
Kasarani,120,19.54389,1,156315,.6316222,1
Mlolongo,121,26.496611,1,156315,.68494046,1
Upperhill,122,7.5210819,,156315,.88758731,1
Jamhuri Estate,123,2.897341,,156315,.066916861,0
Ngummo,124,6.5012379,,156315,.8099786,1
CBD,125,9.981698,,156315,.019613711,0
Syokimau,126,21.52162,1,156315,.64935505,1
Golf course estate,127,5.4355769,1,156315,.44122598,1
Imara Daima,128,15.30609,1,156315,.61372149,1
Embakasi,129,17.030069,1,156315,.045118198,1
JKIA,130,20.80258,1,156315,.64978886,1
Jamhuri/Ngong forest,131,3.946743,1,156315,.96827519,1
Kilimani,132,5.1528668,,156315,.15668626,0
Makadara,133,13.11601,,156315,.28447455,1
Makongeni/kaloleni,134,10.87289,,156315,.076968066,0
Kawangware,135,1.102172,1,156315,.49344489,1
Mathare,137,12.90981,,156315,.53713173,1
Mutuini,138,4.212841,1,156315,.20079464,1
Loresho,139,3.2051589,,156315,.77947402,1
Kibera,140,5.1540589,1,156315,.42028311,1
Nairobi National Park,141,15.3189,1,156315,.10277834,1
Kiserian,142,16.455379,1,156315,.91760337,1
Kitisuru,143,7.7834711,,156315,.76273501,1
Githurai,144,20.101919,1,156315,.26619443,1
Kahawa,145,21.95302,1,156315,.16813162,1
Mwiki,146,21.58477,1,156315,.5742861,1
Donholm,147,16.326929,1,156315,.66904557,1
Spring Valley,148,4.9153838,,156315,.1742094,0
Muthaiga,149,11.09676,,156315,.21791287,0
Karura Forest,150,9.1649675,1,156315,.65627807,1
Kariobangi North,151,15.18263,1,156315,.63828069,1
Kariobangi South,152,15.76096,1,156315,.14777736,1
Ruaraka,153,15.69644,1,156315,.57208806,1
Wilson,154,7.9595151,,156315,.96884757,1
Bomas,155,5.8734679,,156315,.0077969455,0
Mugumoini,156,6.110126,,156315,.39750627,1
Langata,157,9.1848745,,156315,.37327978,1
GPO,158,7.5143542,,156315,.74137282,1
River road,159,8.3448696,,156315,.8181929,1
Kamkunji,160,9.8535252,,156315,.41925386,1
Ngara,161,8.3098402,,156315,.86742222,1
Eastleigh,162,11.20644,,156315,.28737733,1
City Square,163,8.2906084,,156315,.28157884,1
Makina,164,4.9382,1,156315,.14526986,1
Olympic,165,4.6379561,,156315,.070879504,0
Laini saba,166,6.0931458,1,156315,.32056925,1
Uthiru,167,5.799017,,156315,.1662842,0
Kangemi,168,1.574585,1,156315,.43324348,1
Kikuyu,169,9.5799513,,156315,.36069679,1
Kenyatta,170,6.9733181,,156315,.19840449,0
Komarock,171,17.74538,1,156315,.47866845,1
Kayole,172,18.665649,1,156315,.17161518,1
Ngong road,173,2.837245,,156315,.56829935,1
Hurlingham,174,5.4705768,,156315,.82388145,1
South B,101,10.48585,,156410,.17280479,0
South C,102,9.7029266,,156410,.48044086,1
Langata,103,7.5160408,,156410,.52894276,1
Westlands,104,7.18256,,156410,.22239079,0
Kileleshwa,105,4.0238171,,156410,.3327826,1
Ongata Rongai,106,13.29897,,156410,.34462383,1
Ngong,107,11.48542,,156410,.89085227,1
Karen,108,6.8866038,,156410,.54938895,1
Nakumatt Junction,109,2.213841,,156410,.79271185,1
Lavington,110,1.9570071,,156410,.5529356,1
Yaya Center,111,4.3688922,,156410,.19951281,0
Industrial area,112,12.33165,,156410,.15505774,0
Nyayo Stadium,113,8.4842806,,156410,.044933137,0
Umoja,114,15.97778,1,156410,.38900676,1
Dandora,115,17.66058,1,156410,.036869437,1
Prestige,116,4.5051332,,156410,.65525877,1
Athi river,117,32.232121,1,156410,.21695633,1
Kariobangi,118,15.54692,1,156410,.23160402,1
Woodley,119,3.963275,,156410,.57399082,1
Kasarani,120,19.54389,1,156410,.33229303,1
Mlolongo,121,26.496611,1,156410,.9528178,1
Upperhill,122,7.5210819,,156410,.36601272,1
Jamhuri Estate,123,2.897341,,156410,.29594591,1
Ngummo,124,6.5012379,,156410,.64271206,1
CBD,125,9.981698,,156410,.70605886,1
Syokimau,126,21.52162,1,156410,.10512322,1
Golf course estate,127,5.4355769,1,156410,.19427067,1
Imara Daima,128,15.30609,1,156410,.44941202,1
Embakasi,129,17.030069,1,156410,.46884912,1
JKIA,130,20.80258,1,156410,.57822049,1
Jamhuri/Ngong forest,131,3.946743,1,156410,.59659445,1
Kilimani,132,5.1528668,,156410,.049153112,0
Makadara,133,13.11601,,156410,.21386376,0
Makongeni/kaloleni,134,10.87289,,156410,.10783384,0
